horairedebitmax,debithorairemax,gid,nbvoies,Avg car by lane,distancelignearret,identifiantcontroleur,identifiantptm,lat,lon,moyennejoursouvrable,nom,positionnement,typecapteur,typepostemesure
08h00,484,1038,2,242,0,581,792,45.77243157,4.84085138,1958,792_Velo_Tassigny OE,792_SN,Capteur inductif Criter,Boucle inductive V̩lo
08h00,484,1039,2,242,0,581,792,45.77243121,4.840867575,1958,792_Velo_Tassigny OE,792_CS,Capteur inductif Criter,Boucle inductive V̩lo
08h00,418,1040,2,209,0,581,793,45.7724446,4.840868183,1924,793_Velo_Tassigny EO,793_SN,Capteur inductif Criter,Boucle inductive V̩lo
08h00,418,1041,2,209,0,581,793,45.77244496,4.840851989,1924,793_Velo_Tassigny EO,793_CS,Capteur inductif Criter,Boucle inductive V̩lo
08h00,163,1042,2,81.5,0,371,799,45.77484213,4.808433461,727,799_Velo_Marietton_OE,799_SN,Capteur inductif Criter,Boucle inductive V̩lo
08h00,163,1043,2,81.5,0,371,799,45.7748418,4.808448184,727,799_Velo_Marietton_OE,799_CS,Capteur inductif Criter,Boucle inductive V̩lo
08h00,142,1046,1,142,0,371,800,45.77494447,4.808469007,651,800_Velo_Voie mixte_Marietton_EO,800_SN,Capteur inductif Criter,Boucle inductive V̩lo
08h00,852,1059,2,426,45,2295,924,45.7806128,4.808796805,8622,924_Gare d'Eau_Claire_St Cyr,924_VR,Capteur inductif Criter,Boucle inductive TV
08h00,1636,1064,3,545.3333333,86,596,1026,45.74445156,4.858184101,18497,1026_Tchecoslovaques_Berthelot_Veyron,1026_VM,Capteur inductif Criter,Boucle inductive TV
08h00,537,1065,1,537,106,417,1004,45.74087206,4.875324233,4749,1004_Jean XXIII_Alouettes_Bastie,1004_V,Capteur inductif Criter,Boucle inductive TV
08h00,1055,1067,2,527.5,99,2769,1039,45.71774415,4.95601088,11356,1039_Grenoble_Progres_Expositions,1039_VL,Capteur inductif Criter,Boucle inductive TV
08h00,291,1076,1,291,93,2330,1205,45.78319889,4.827926192,2824,1205_Chevalier_Savaron_Cuire,1205_V,Capteur inductif Criter,Boucle inductive TV
08h00,294,1080,2,147,110,286,1189,45.73872272,4.866306036,3338,1189_Cazeneuve_Berliet_Berthelot,1189_VL,Capteur inductif Criter,Boucle inductive TV
08h00,735,1086,1,735,999,-1,958,45.78210719,4.720566139,5161,958_Sain Bel_Terres d'Or_ Lacroix-Laval,958_V_2,Capteur inductif Criter,Boucle inductive TV
08h00,718,1095,1,718,999,-1,992,45.65151809,4.959397482,6109,992_Allende_Limite est_Liberation,992_V1,Capteur inductif Criter,Boucle inductive TV
08h00,2464,1099,3,821.3333333,91,2267,911,45.7622367,4.841251445,27857,911_Augagneur_Jussieu_Bonnel,911_VL,Capteur inductif Criter,Boucle inductive TV
08h00,2464,1100,3,821.3333333,91,2267,911,45.76223508,4.841277892,27857,911_Augagneur_Jussieu_Bonnel,911_VM,Capteur inductif Criter,Boucle inductive TV
08h00,2464,1101,3,821.3333333,91,2267,911,45.76223356,4.841299923,27857,911_Augagneur_Jussieu_Bonnel,911_VR,Capteur inductif Criter,Boucle inductive TV
08h00,1734,1103,2,867,160,240,913,45.75884498,4.837348514,20217,913_Courmont_Childebert_Tremie,913_VR,Capteur inductif Criter,Boucle inductive TV
08h00,1734,1104,2,867,160,240,913,45.75885089,4.837314897,20217,913_Courmont_Childebert_Tremie,913_VL,Capteur inductif Criter,Boucle inductive TV
